,ttext,date,isretweet,retweetcount,favoritecount,score,product,city,country,duplicate
1,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 19:48,TRUE,2,0,0,Apple Iphone,Los Angeles,USA,FALSE
2,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 19:47,TRUE,2,0,0,Apple Iphone,Los Angeles,USA,TRUE
3,DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  ,6/25/2020 19:46,FALSE,2,0,0,Apple Iphone,Los Angeles,USA,FALSE
4,"How to use widgets on your iPhone Home screen
_
 ",6/25/2020 18:56,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
5,"@anas__b @MacRumors Nothing really. Apple just allows the iPhone to do PiP the same way it works on the iPad. 

You  ",6/25/2020 18:50,FALSE,0,0,1,Apple Iphone,Los Angeles,USA,FALSE
6,"I'm really trying to hold out until Apple releases whatever is next, but my original iPhone X is acting plain stupi  ",6/25/2020 18:43,FALSE,0,1,0,Apple Iphone,Los Angeles,USA,FALSE
7,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 18:42,TRUE,2,0,0,Apple Iphone,Los Angeles,USA,TRUE
8,RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  vi,6/25/2020 18:38,TRUE,2,0,0,Apple Iphone,Los Angeles,USA,TRUE
9,@CaitCorrain Here it is for the iPhone:  ,6/25/2020 18:37,FALSE,0,1,0,Apple Iphone,Los Angeles,USA,FALSE
10,DINO MAKER! Make Dinos and Levels to share!  indiegame  gamedev  indiedev  retro  indievideogames  ios  indiegames  ,6/25/2020 18:36,FALSE,2,2,0,Apple Iphone,Los Angeles,USA,TRUE
11,"Platinum D30 Protective Case for Apple iPhone X / XS 5.8"" - Black/Orange  NEW  ",6/25/2020 17:51,FALSE,0,0,1,Apple Iphone,Los Angeles,USA,FALSE
12,"Platinum D30 Protective Case for Apple iPhone X / XS 5.8"" - Black/Orange  ",6/25/2020 17:50,FALSE,0,0,1,Apple Iphone,Los Angeles,USA,FALSE
13,"Platinum Horween Real Leather Folio Case for Apple iPhone 11 Pro 5.8"" Black  ",6/25/2020 17:50,FALSE,0,0,0,Apple Iphone,Los Angeles,USA,FALSE
